Code,Station_ID,JMD_code,Station_Name,Altitude_m,Latitude,Longitude,Time,SPI
SYNP0024,F 0002,13,Safawi_H5,674,32.12,38.08,7/31/80,0
SYNP0029,,14,Queen AIA,722,31.43,35.59,7/31/80,0
SYNP0030,G 0007,15,Maan,1069,30.1,35.47,7/31/80,0
SYNP0031,G 0008,16,Al Jafer,865,30.28106357,36.15030025,7/31/80,0
CLIM0026,AL0015,17,Zarqa,664,32.08104361,36.07,7/31/80,0
AGRO0025,AL0055,18,Wadi Dhulil,575,32.15104237,36.28030146,7/31/80,0
,CD0034,19,Qatraneh,730,31.15,36.07,7/31/80,0
SYNP0028,F 0009,20,Azraq,610,31.5,36.49,7/31/80,0
SYNP0022,H 0001,21,Rwaished_H4,683,32.3,38.12,7/31/80,0
,AH0002,22,Wadi El-Rayyan,-200,32.24,35.35,7/31/80,0
,AL0017,23,Sawileh,1050,32,35.54,7/31/80,0
,CC0001,24,Madaba,758,31.43,35.48,7/31/80,0
,AD0012,25,Ramtha,590,32.3,35.59,7/31/80,0
,AB0002,26,Dier Abi Said,330,32.500792,35.684493,7/31/80,0
,AM0007,27,South Shuna,-211,31.904103,35.625541,7/31/80,0
,F 0003,28,Azraq South ,511,31.82568,36.818333,7/31/80,0
PURP0012,AL0018,29,University of Jordan,992,32.010893,35.873065,7/31/80,0
,AL0004,30,Jarash,585,32.279346,35.892955,7/31/80,0
AGRO0001,AD0032,1,Bakoura,-170,32.67103427,35.62031876,8/31/80,0
AGRO0004,AL0010,2,Deir Alla,-224,32.22104282,35.62031634,8/31/80,0
AGRO0005,CF0006,3,Ghor Safi,-350,31.03106096,35.47030809,8/31/80,0
AGRO0008,AE0002,4,Irbed,616,32.55103034,35.85031273,8/31/80,0
AGRO0018,CD0010,5,ErRabeh,920,31.27104991,35.75030499,8/31/80,0
AGRO0020,DA0002,6,Shoubek,1365,30.52106675,35.53030633,8/31/80,0
CLIM0019,DB0001,7,Tafieleh,1200,30.5,35.38,8/31/80,0
RAIN0037,AM0001,8,Salt,796,32.03103635,35.44,8/31/80,0
SYNP0006,ED0001,9,Aqaba,51,29.33,35.00032057,8/31/80,0
SYNP0011,AH0003,10,Ras Munief,1150,32.22,35.45,8/31/80,0
SYNP0013,AL0019,11,Amman Airport,790,31.59,35.59,8/31/80,0
SYNP0023,AD0016,12,Mafreq,686,32.22,36.15,8/31/80,0
SYNP0024,F 0002,13,Safawi_H5,674,32.12,38.08,8/31/80,0
SYNP0029,,14,Queen AIA,722,31.43,35.59,8/31/80,0
SYNP0030,G 0007,15,Maan,1069,30.1,35.47,8/31/80,0
SYNP0031,G 0008,16,Al Jafer,865,30.28106357,36.15030025,8/31/80,0
CLIM0026,AL0015,17,Zarqa,664,32.08104361,36.07,8/31/80,0
AGRO0025,AL0055,18,Wadi Dhulil,575,32.15104237,36.28030146,8/31/80,0
,CD0034,19,Qatraneh,730,31.15,36.07,8/31/80,0
SYNP0028,F 0009,20,Azraq,610,31.5,36.49,8/31/80,0
SYNP0022,H 0001,21,Rwaished_H4,683,32.3,38.12,8/31/80,0
,AH0002,22,Wadi El-Rayyan,-200,32.24,35.35,8/31/80,0
,AL0017,23,Sawileh,1050,32,35.54,8/31/80,0
,CC0001,24,Madaba,758,31.43,35.48,8/31/80,0
,AD0012,25,Ramtha,590,32.3,35.59,8/31/80,0
,AB0002,26,Dier Abi Said,330,32.500792,35.684493,8/31/80,0
,AM0007,27,South Shuna,-211,31.904103,35.625541,8/31/80,0
,F 0003,28,Azraq South ,511,31.82568,36.818333,8/31/80,0
PURP0012,AL0018,29,University of Jordan,992,32.010893,35.873065,8/31/80,0
